RELATOCLIENTE;PROBLEMA
cliente entrou em contato informando que está sem sinal em sua internet, feito testes em sistema sem sucesso. ;Queda / Intermitência
CLIENTE COM QUEDAS REALIZEI OS TESTE E ENCAMINHEI Solicitação de Reset NGASP enviada com sucesso . CLIENTE GPON / SEM NGASP ;Queda / Intermitência
Cliente reclama de quedas e intermitência , procedimentos efetuados por favor tratar . Cliente não tem bloqueio em não tem massiva. ;Queda / Intermitência
CLIENTE INFORMA QUE INTERNET ESTA COM QUEDAS HÁ MAIS DE 1 MÊS, FEITO OS PROCEDIMENTOS EM LINHA E NÃO FOI NORMALIZADO, O MESMO CONTINUA COM AS QUEDAS (OBS: MAQUINA NÃO MAPEIA PRINT) ;Queda / Intermitência
CLIENTE COM QUEDAS INTERMITENTES  ORIENTADO DO PROTOCOLO ENCAMINHADO E AGUARDA 48 HORAS ;Queda / Intermitência
Procedimentos realizados cliente reclamando de quedas.ONT Last Down Time 2020-12-28 19:44:52 Line Fiber Attenuation está verde. Cliente não tem computador. ;Queda / Intermitência
CLIENTE INFORMA QUE ESTA TENDO QUEDAS CONSTANTES NA CONEXAO . REALIZADOS OS TESTES COM SUCESSO . O MESMO CIENTE CASO O PROBLEMA PERSISTA RETORNAR A LIGAÇÃO. ;Queda / Intermitência
cliente informa esta tendo quedas constantesde acordo com o ngasp a mesma consta 100 quedas dentro das ultimas 24 horas;Queda / Intermitência
Cliente sem massiva e sem bloqueios, mas com bastantes quedas na conexão, foi feito os testes, para vê se normalizava e no ngasp consta Fast Retrain (REINIT) -REINIT over limit -28 Loss of Power (LPR DWN) -Dying Gasp Arrived -273 ;Queda / Intermitência
cliente informa que esta sem conexão , feito os procedimentos , conexão voltou ao normal ;Queda / Intermitência
Cliente informa estar com quedas na conexão feito teste com sucesso. ;Queda / Intermitência
cliente informa que esta tendo muitas quedas e ja foi feito outros procedimentos e voltou a cair , feito os procedimentos e caiu novamente ;Queda / Intermitência
Caros , cliente reclama de falha na conexão/ quedas ,  foi orientado  a :  Desligar o Modem , foi resetado via NEGASP , PORÉM EM  NEGASP  CONSTA :  no período de 24horas a conexão do cliente  apresentar mais de 10 registros de  quedas nas últimas 24hs em intervalos a cada 15 min  , várias quedas :Fast Retrain   ;Queda / Intermitência
cliente entra em contato para reclamar pois novamente estaria com quedas e ocilações , nos serviços . verificado em sistema que na aba DELT ESTA TENDO QUEDAS PRINTS ANEXADOS. ;Queda / Intermitência
Cliente informa que seu sinal está oscilando e caindo constantemente, sistema NGASP não identifica quedas e intermitências. Aberta solicitação para tratar problema. Realizado testes porém sem sucesso. ;Queda / Intermitência
Cliente reclama que sua internet esta com queda e intermitencia.;Queda / Intermitência
Acesso Banda-Larga por Rede Metálica (VDSL):Verificar se o problema ocorre.  Desligar o Modem   Resetar a porta da MSAN via sistemas Tela Única e NGASP   Verificar se o modem está ligado e sincronizado.   Conferir na aba Info > Delt Measurement se houveram 3 ou mais quedas.   Ir em Monitoring > Status e conferir se houveram 3 ou mais mudanças de status.   Consultar o campo Frequency Graph no NGASP para verificar se há oscilações de DOWNLOAD ou UPLOAD no link.   Se pelo menos uma das duas informações acima for verdadeira, prosseguir com o troubleshooting.   Informar ao cliente que a Rede Wireless pode sofrer diversas oscilações e interferências, não é possível garantir estabilidade/velocidade via WiFi.;Queda / Intermitência
Cliente com quedas intermitentes , ciente que temum chamado em aberto ;Queda / Intermitência
CLIENTE QUESTIONA QUE ESTA COM QUEDAS FREQUENTE QUANDO CHOVE O MESMO INFORMA QUE FOI UM TECNICO , E INFORMOU QUE O CABO ESTA COM UMA IMENDA , O MESMO QUESTIONA QUE DESLIGA O MODEM POREM DEPOIS CAI NOVAMENTO ;Queda / Intermitência
CLIENTE RECLAMA DE SUA INTERNET ESTA COM INTERMITENCIA , POREM EM SISTEMA CONSTA OSCILAÇÃOmapeia print indisponivel ;Queda / Intermitência
relata quedas de conexão e não foi identificada nenhuma oscilação via gpon chrome , orientada com 24h após procedimentos de quedas ;Queda / Intermitência
internet apresenta quedas cliente reclama do problema informa que tem acontecido recorrente, procedimentos realizados verificado ferramentas foi normalizado a conexão;Queda / Intermitência
Banda Larga Queda / Intermitência ;Queda / Intermitência
TODOS OS PROCEDIMENTOS INFORMADO ACIMA FOI FEITO MAS REDE NÃO FOI NORMALIZADA VAI SER NECESSARIO REPARO  POR OCORRENCIA DA FALHA ACIMA NÃO COSNTA MASSIVA NO LOCAL AS INFORMAÇÕES DE FALHA E PRAZO PARA REPARO FOI PASSADA AO CLIENTE EM LINHA (MAQUINA EM HOME OFFICE SEM ACESSO EM MAPEIA PRINT;Queda / Intermitência
CLIENTE ESTA COM QUEDAS NA INTERNET, FEITO OS TESTES AINDA ESTA COM QUEDAS;Queda / Intermitência
SEM SINAL TESTES FEITOS A MESMA INFORMA QUE O SINAL FOI NORMALIZADO.;Queda / Intermitência
Cliente reclama de quedas e intermitência, procedimentos efetuados por favor tratar. Cliente não tem bloqueio em não tem massiva. ;Queda / Intermitência
cliente com quedas na conexão , consultado sistema ngasp Fast Retrain (REINIT) REINIT over limit 102 , Loss of Power (LPR DWN) Dying Gasp Arrived 36 ;Queda / Intermitência
Cliente informa estar com intermitencias na conexão . Computador home based não tira print . Cliente sem massivas e sem bloqueios.;Queda / Intermitência
cliente informa que as quedas de conexão acontecem tanto via wi-fi quanto em um aparelho cabeado, o mesmo diz que o modem desliga por completo e depois volta a operar normalmente. o (cliente em linha) perguntou sobre o possível envio de técnico na residência dele para realizar a verificação do problema.;Queda / Intermitência
usuário gpom reclama que pela manhã a conexão cai tempo todo . segundo ele pode ser que seja o modem pois vire mexe sai xiado do aparelho não foi identificado massiva no portal cop e nem no siebel nem massiva RFTTH . feito testes necessário  cliente alinhado que foi feito configuração no canal do wifi e sistema não identificou quedas.. mais em linha o mesmo inf que estava pelo cabo porém regman não identificou conexão cabeada.... e mesmo inf em linha que não foi resolvido o problema Cliente é um GPON Solicitação de Reset NGASP enviada com sucesso.;Queda / Intermitência
cliente informa que esta com intermitência, reiniciou o modem, aplicado reset na porta, cliente alega que todas as vezes que chove sua internet cai, ate o momento em registro só consta 1 queda, mas o mesmo já deseja solicitar o técnico pois em dias anteriores tem caído bem mais. ;Queda / Intermitência
averiguei se era algum problema de massiva . pedi ao cliente desligar o modem.resetei a porta port eth resetei a porta on pedi para o cliente ligar o modem ;Queda / Intermitência
Cliente entra em contato reclamando que esta sem acesso a internet ;Queda / Intermitência
CLIENTE INFORMA SEM INTERNET, REALIZADO O TESTE PORÉM MANTEM SEM CONEXÃO , APARECE COM QUEDAS INTERMITENTE NO NGASP , SEM MASSIVA , @ DE INTERNET DESLIGADO , PON ESTA EM VERMELHO/FAVOR VERIFICAR ;Queda / Intermitência
* INFORMA QUE DESDE QUANDO CONTRATOU DIA 01/12 A INTERNET OSCILA QUANDO AS LUZES DO POSTE ACENDEM  - * EM SISTEMA CONSTA QUE FOI ABERTO DIVERSAS RECLAMAÇÕES MAS NENHUMA RESOLVE PROBLEMA DO CLIENTE - *** ,SOLICITA QUE VERIFIQUEM O QUE ESTA ACONTECENDO - TESTE FEITO - PRINT INDISPONIVEL -;Queda / Intermitência
cliente sem conexão, informa que o problema é frequente.mensagem: conectado, sem internet . devido fatura anterior que ficou 21 dias em aberto, cliente com status pre-redvel, atualização portal cop 1 realizada para ativo, reset e atualização portal cop 1 realizada, não consta massiva.//modem demorou sincronizar, constam quedas ngasp . Number of operational status changes 4 ;Queda / Intermitência
apos teste quedas permanecem;Queda / Intermitência
CLIENTE ENTRA EM CONTATO RECLAMANDO DA SUA CONEXÃO COM QUEDAS E INETREMITENCIA CONSTANTE SEM MASSIVA SEM BLOQUEIO TESTE REALIZADO SEGUINDO ARVORE SEM SUCESSO ;Queda / Intermitência
"CLIENTE RECLAMA QUE TODA VEZ QUE CHOVE A CONEXÃO CAI ********** QUEDAS ********* Noise Margin Up Status	RUIM ****** CONSTAM 80 QUEDAS NO NGASP ********";Queda / Intermitência
cliente com intermitência no sinal, teste realizado sem sucesso.;Queda / Intermitência
"Cliente já tinha gerado ordem de serviço, porém por engano respondeu ""sim"" ao ser questionado no whatsapp sobre normalização de serviço e ordem foi fechada";Queda / Intermitência
cliente com queda de sinal e bastante intermitência de sinal.;Queda / Intermitência
CLIENTE RECLAMA  DE QUEDAS , FEITO TESTES ;Queda / Intermitência
cliente com quedas Solicitação de Reset NGASP enviada com sucesso.;Queda / Intermitência
CLIENTE INFORMA QUE ESTA COM LENTIDÃO NA SUA INTERNET POREM FOI SEGUINDO ARVORE DECISÃO FOI REALIZADO TESTE FOI ENVIADO RESET POREM O SINAL  NÃO NORMALIZOU ;Queda / Intermitência
CLIENTE INFORMA QUE CONEXÃO ESTA EXTREMAMENTE INSTAVEL COM QUEDAS. NÃO POSSUI BLOQUEIO OU MASSIVA.. REALIZADOS TESTES ;Queda / Intermitência
Cliente com muitas quedas//intermitências em sua conexão, realizados procedimentos e verificado no NGASP consta mais de 3 quedas em Delt Measurement e oscilações de download e upload no link no campo: Frequency Graph . Prints anexados no siebel. ;Queda / Intermitência
CLIENTE ENTRA EM CONTATO DEVIDO INTEMITENCIAS NA SUA CONEXÃO SEM MASSIVA OU BLOQUEIO CLIENTE NÃO PODE REALIZAR OS PROCEDIMENTOS, VAI RETORNAR CASO AS FALHAS PESISTIREM;Queda / Intermitência
Procedimentos realizados . Cliente com 26 quedas . Ir em Monitoring: não teve mudança de status . Frequency Graph : não teve oscilação. ;Queda / Intermitência
"cliente reclama que esta sem acesso a internet / sem massiva sem bloqueio / sistemas indicam sem sincronismo MSAN:	Nao sincronizada	";Modem sem sincronismo
Cliente  informa que esta sem  sinal de internet . Sem massiva (Nenhum registro foi encontrado) e sem bloqueio por fatura . Ledes apagados em modem . Modem sem sincronismo . Testes sem sucesso. ;Modem sem sincronismo
CLIENTE RECLAMA QUE SUA INTERNET ESTA SEM CONEXÃO, POREM POSSUI FALHA DE SINCRONISMO.;Modem sem sincronismo
Cliente informa que está sem conexão, realizado testes...sem sucesso.;Modem sem sincronismo
cliente relata esta sem internet salvo na base de dados para não receber contato via WhatsApp Solicitação de Reset NGASP enviada com sucesso . cliente relata que ligou pra ela para fazer os reparos pelo telefone menos , a mais a tecnica relatou que a senhora precisa de uma visita tecnica presencial, porque o problema é no poste ;Modem sem sincronismo
cliente sem sinal feito testes sem sucesso;Modem sem sincronismo
cliente informa que estava com problema de conexão, o tecnico era pra comparecer dia 28/12, a mesma informa que tem prints confirmando essa data, foi feito pedido de desculpas, realizado os procedimentos, conexão voltou ao normal;Modem sem sincronismo
cliente informa que estava com problema de conexão, o tecnico era pra comparecer dia 28/12, a mesma informa que tem prints confirmando essa data, foi feito pedido de desculpas, realizado os procedimentos, conexão voltou ao normal;Modem sem sincronismo
Cliente informa estar sem conexão. Computador home based não tira print . Cliente sem massivas e sem bloqueios . ;Modem sem sincronismo
cliente sem sinal de internet já desligou o modem dz nergia e ligou novamente   mesmo assim m continua  pedi para desliga o modem agira  informei que seria feito alguns procedimento  com equipamento que fica na rua   ciente de    reset  no cop  2 e ngasp   feito os teste sem sucesso;Modem sem sincronismo
CLIENTE SEM SINCRONISMO E SEM MASSIVA LIGAÇÃO CAIU;Modem sem sincronismo
CLIENTE INFORMA QUE ESTA SEM ACESSO A INTERNET , NAO A MASSIVA , FEITOS OS TESTES , NAO VOLTOU CONFORME PROCEDIMENTO,,, ...Mensagem enviada para o WhatsApp ;Modem sem sincronismo
CLIENTE SEM SINAL DE INTERNET FEITO TESTES COM A MESMA EM LINHA NÃO NOMALIZOU ,FAVOR VERIFICAR ;Modem sem sincronismo
SEM SINAL DE INTERNET, REALIZADO TESTES SEM SUCESSO;Modem sem sincronismo
CLIENTE INFORMA QUE ESTA SEM SINAL DE INTERNET POREM FOI SEGUINDO ARVORE DECISÃO FOI REALIZADO  TESTES ENVIADO RESET POREM O SINAL NORMALIZOU;Modem sem sincronismo
Após analises cliente informa estar sem conexão, identificamos que o mesmo se encontra sem sincronismo, não consta massiva no portal cop conforme consulta, realizados testes no modem sem sucesso.MAQUINA HOME OFFICE NÃO HABILITA PRINT RMAGSDR-SABR04-01: [9013] BackEnd Error on getBRASSessionInfo: No sessions found matching criteria. ;Modem sem sincronismo
cliente informa que esta sem sinal de internet a vários dias já foi aberto uma solicitação técnica que foi dado baixa como massiva porem a mesma continua sem sinal;Modem sem sincronismo
cliente sem conexão , luz da internet apagada , não foi identificado massiva, realizado os procedimentos e constatado sem sincronismo Mensagem enviada para o WhatsApp , máquina não habilita o print**em home office ;Modem sem sincronismo
cliente entra em contato e informa que estar sem sinal de internet efetuado os teste porem sem sucesso;Modem sem sincronismo
cliente reclama que esta sem conexão, feito testes, problema permanece.;Modem sem sincronismo
Modem sem sincronismo / BROADBAND / PONStatus do led acima: Piscando ou Apagado -> Sem Sincronismo / Sem Sinal de IntenetStatus do led: @ ou Internet apagados Apagados testes realizados  nao tem massiva nem bloqueo mativo ;Modem sem sincronismo
cliente sem sinal testes realizados sem sucesso modem com lead apagado;Modem sem sincronismo
"Cliente informa que esta sem conexão. Não consta massiva e nem bloqueio por inadimplência . Realizado procedimentos sugeridos pela ""árvore de decisão"" mas sem retorno de conexão. ";Modem sem sincronismo
SR ENTRA EM CONTATO E INFORMA QUE ESTA SEM SINAL DA SUA BANDA LARGA , FORAM REALIZADO OS TESTES ACIMA SEM SUCESSO , POIS O MESMO INFORMA QUE PERMANECE SEM O SINAL DA SUA BANDA LARGA , FOI GERADA UMA OTT COM O PRAZO DE 24 HORAS PARA QUE SEJE CONCRETIZADA.;Modem sem sincronismo
CLIENTE RELATA QUE ESTA SEM CONEXÃO . NÃO CONSTA BLOQUEIO NEM MASSIVA. SEGUNDO INF.O REDE ESTA SEM SINCRONISMO.**Solicitação de Reset NGASP enviada com sucessoAPOS TESTES CLIENTE PERMANECE SEM A CONEXÃO.(PRINT SEGUE EM ANEXO.);Modem sem sincronismo
"Cliente informa que esta sem conexão. Não consta massiva e nem bloqueio por inadimplência . Realizado procedimentos sugeridos pela ""árvore de decisão"" mas sem retorno de conexão.";Modem sem sincronismo
CLIENTE COM PROBLEMA DE CONEXÃO COM A INTERNET APÓS FEITO TESTES EM LINHA FOI IDENTIFICADO FALHA NO SINCRONISMO, MODEM REINICIADO E PORTA RESETADA SEM SUCESSO.   SEM MASSIVA / SEM BLOQUEIO POR INADIMPLÊNCIA E INVERSÕES DE CABO TAMBÉM SEM SUCESSO. FOI INFORMADO UM PRAZO DE NO MÁXIMO 48HORAS PARA TENICO NA RESDENCIA E PROCEDIMENTO VIA WHATSAPP CONCLUIDO.;Modem sem sincronismo
Cliente informa que esta sem conexão. Cliente sem massiva e sem bloqueio.;Modem sem sincronismo
cliente informa sem conexão internet voltou a funcionar normalmente enquanto estava na ligação com o cliente   não email     ;Modem sem sincronismo
CLIENTE ESTA SEM SINCRONISMO, APOS OS TESTES SUA INTERNET NÃO NORMALIZOU ;Modem sem sincronismo
CLIENTE COM FALHA PRA UTILIZAR A INTERNET, INFORMA QUE O @ ESTÁ APAGADO. APÓS TESTES A FALHA PERMANECE . CLIENTE RELATA QUE FIOS FORAM ROMPIDOS POR CAMINHÃO.;Modem sem sincronismo
Cliente informou que esta sem conexão, luz do @ apagada, nao consta massiva e nem bloqueio, realizei procedimentos porem sem sucesso;Modem sem sincronismo
CLIENTE SE NEGA A REALIZAR OS TESTES, ESTA SEM CONEXÃO A INTERNET POIS INFORMA QUE O TECNICO EXPLICOU QUE ESTA TENDO UM PROBLEMA NA CAIXA QUE A CAPACIDADE ;Modem sem sincronismo
Cliente que possui o Telefone respondeu SIM na Mensagem Recebida pelo WhatsApp . Cliente sem internet desde às 12 da data de hoje . ;Modem sem sincronismo
CLIENTE RECLAMA QUE ESTA SEM CONEXÃO.;Modem sem sincronismo
Cliente sem conexão. Feito procedimentos em sistema, mas cliente não confirma normalização, sendo necessária abertura de OTT. Sem massiva no COP.------------------------------------------------------------------------------------;Modem sem sincronismo
O cliente informa que está sem conexão , foi realizado os procedimentos em linha mas a conexão com a banda larga não foi normalizada . FOI VERIFICADO NO COP QUE NÃO CONSTA MASSIVA. ;Modem sem sincronismo
CLIENTE SEM CONEXÃO HÁ 4 DIAS, LED DA INTERNET APAGADO. NÃO HÁ MASSIVA E OS TESTES FORAM REALIZADOS CONFORME A ÁRVORE MAS SEM SUCESSO.;Modem sem sincronismo
Cliente sem conexão com sua internet, feito testes e não normalizou.;Modem sem sincronismo
CLIENTE INFO QUE ESTÁ SEM CONEXÃO DEVIDO A CABO ROMPIDO POR CONTA DE OBRA EM SUA RESIDÊNCIA, NÃO CONSTA MASSIVA, NÃO CONSTA BL. INADIMP. EM NGASP HÁ FALHA DE SINCRONISMO, CLIENTE CIENTE DE ABERTURA DE OTT PARA REPARO E DE TODOS OS PROCEDIMENTOS, PRINT INDISPONÍVEL.;Modem sem sincronismo
TODOS PROCEDIMENTOS FEITOS E CONTINUA SEM SINCRONISMO;Modem sem sincronismo
CLIENTE RECLAMA QUE SUA INTERNET ESTA SEM CONEXÃO, POREM POSSUI FALHA DE SINCRONISMO.;Modem sem sincronismo
CLIENTE INFORMA , QUE ESTA SEM INTERNETSEM BLOQUEIO/SEM MASSIVADESLIGOU O MODEME A LUZ DA INTERNET , CONTINUA APAGADA TEVE QUE AGENDAR A VISITA TECNICAPORTAL ADCCMensagem enviada para o WhatsApp, TEM O PRINT ;Modem sem sincronismo
cliente informa que esta sem conexão desde da parte da manhã o modem, esta sem sincronismo não consta massiva ;Modem sem sincronismo
Cliente sem conexão, não consta massiva, sem sincronismo ngasp , reset realizado , problema persiste . ;Modem sem sincronismo
CLIENTE INFORMA QUE ESTA SEM INTERNET , NÃO CONSTA MASSIVA E NEM BLOQUEIO . REALIZAMOS OS TESTE E NÃO FOI NORMALIZADO . OBS : MAQUINA NÃO TIRA PRINT. ;Modem sem sincronismo
REALIZADO TESTES SEM SUCESSO LEDS ACESA DO MODEM POWER  E ETHERNET;Modem sem sincronismo
CLIENTE RECLAMA AUSENCIA DA INTERNET - SOLICITADO OS PROCEDIMENTOS, NÃO TEM MASSIVA(PRINT INDISPONIVEL);Modem sem sincronismo
CLIENTE RECLAMA QUE ESTA SEM CONEXÃO  Á 3 DIAS . POR CONTA DE FIOS REMENDADOS , ATUALIZADO SINAL SEM SUCESSO (SEM MASSIVA ) (CLIENTE CADASTRADA NO PORTAL ADCC-TIM)- TITULAR EM LINHA PAMELA;Modem sem sincronismo
cliente sem sinal de internet e telefone, teste realizado sem sucesso.;Modem sem sincronismo
"Falha Massiva - Metálico	ABERTA	Outros ";Massiva
Cliente ciente do prazo da massiva de 8 horas ;Massiva
Informado o prazo de 24 horas devido a massiva ser massiva fora do prazo  maquina sem mapeia print ;Massiva
Massiva (Massiva)  Motivo:Outros;Massiva
Consultar o Service ID no Portal COP 2.0 e verificar se há indisponibilidade / manutenção de rede para o cliente (NTT, RMT, MPP ou MPS)     Massivas '= Para NTT o prazo é de até 8 horas e RMT/MPP/MPS o prazo é de 24 horas  ;Massiva
CLIENTE ESTA COM MASSIVA EM SUA REGIÃO, ORIENTADO AGUARDAR O PRAZO DE 8h PARA NORMALIZAÇÃO.;Massiva
"cliente sem internet desde ontem  tem massiva Massiva CRT ATIVO HISTORICO Id da massiva	Data de criação	Data de Fechamento	Tipo	Status	Motivo 	28-12-2020 05:20:00	-	Falha Massiva - Metálico	ABERTA	Outros";Massiva
cliente com massiva  28-12-2020 16:36:23 Falha Massiva - GPON ;Massiva
"28-12-2020 11:52:00	-	Manutenção Programada Rede Secundária	ABERTA	";Massiva
CLIENTE ESTA COM MASSIVA EM SUA REGIÃO, ORIENTADO AGUARDAR O PRAZO DE 24H PARA NORMALIZAÇÃO.;Massiva
CLIENTE ESTA SEM CONEXÃO ;Massiva
Cliente com massiva em ativo desde o dia 14/12/2020, cliente de área de risco. Orientada a aguardar.;Massiva
MASSIVA;Massiva
Motivo da Ligação : Cliente questiona falta de conexão , consta massiva por RMT no local.;Massiva
"Massiva:	RMT_157084 (Massiva)	  Motivo :	Outros ";Massiva
"CLIENTE RECLAMA AUSENCIA DA INTERNET - INFORMADO SOBRE MASSIVA - PRAZO DE 24HORAS	28-12-2020 09:13:47	Falha Massiva - GPON	pending";Massiva
Cliente ciente do prazo da massiva de 8 horas;Massiva
"Massiva: (Massiva)	  Motivo:	Outros ** Prazo: 24h";Massiva
"Rede se encontra com massiva:  Manobra Primario:	Msan   Massiva:	 	  Motivo:	Interrupção de Rede - InterrupçãoNormalização no prazo de 8 horas";Massiva
"SEM INTERNET 	28-12-2020 09:29:45	Falha  o prazo é de 24 horas";Massiva
CLIENTE MASSIVA SEM PRAZO;Massiva
Consultar o Service ID no Portal COP 2.0 e verificar se há indisponibilidade / manutenção de rede para o cliente Para NTT o prazo é de até 8 horas e RMT/MPP/MPS o prazo é de 24 horas  Verificar  Se o cliente tiver um link GPON, acessar o portal de massivas FTTH, atualizar a página(F5) e inserir o código da caixa CDOE do cliente (consultar pelo Portal COP GPON)Falei com: ;Massiva
CLIENTE ESTA SEM CONEXÃO, CONTEM MASSIVA. ;Massiva
cliente ciente de 24 hrs.;Massiva
Cliente questiona falta de conexão, consta massiva no local por RMT.;Massiva
MASSIVA;Massiva
Cliente informa estar sem conexão . Computador home based não tira print . Cliente possui problemas massivos na região, prazo de normalização de 8 a 24 horas.;Massiva
Consultar o Service ID no Portal COP 2.0 e verificar se há indisponibilidade / manutenção de rede para o cliente (NTT, RMT, MPP ou MPS)     Massivas '= Para NTT o prazo é de até 8 horas e RMT/MPP/MPS o prazo é de 24 horas;Massiva
Cliente sem acesso a internet , massiva . Cliente ciente do prazo de 8 horas para normalizar.;Massiva
"Manutenção Programada Rede Primária	ABERTA	PRASO PARA O RESTABELECIMENTO DO SINAL DE INTERNET É DE ATE 24 H CLIENTE RECLAMA QUE TEM QUE SER AVISADO QUANDO TIVER ESSE TIPO DE MANUTENÇÃO PARA ELE NÃO SER PEGO DE SURPRESA POIS ELE TRABALHA COM A INTERNET ";Massiva
"Manobra Primario:	Msan   Massiva  Motivo:	Interrupção de Rede - Interrupção ";Massiva
"Massiva:	 (Massiva)	  Motivo:	Par Secundário";Massiva
 28-12-2020 05:20:00 -  Falha Massiva - Metálico ABERTA  ;Massiva
"28-12-2020 13:09:00	-	Manutenção Programada Rede Secundária	ABERTA";Massiva
SEM CONEXÃO . ORIENTADO A AGUARDAR , CONFORME A MASSIVA NO COP E INFOLIVE DE 8 HORAS. ;Massiva
"	28-12-2020 08:52:59	-	Falha Massiva - Metálico	ABERTA	Outros";Massiva
"Cliente informa estar sem conexão . Computador home based não tira print  . Cliente possui problemas massivos na região , prazo de normalização de 8 a 24 horas .	Fault Massive - GPON ";Massiva
"CLIENTE COM CONEXAO RUIM   Massiva:	 (Massiva)	  Motivo:	Outros LIGACAO CAI E RETRONO COM SUCESSO";Massiva
"Motivo:	Interrupção de Rede - Interrupção ";Massiva
CLIENTE INFORMA QUE ESTA SEM INTERNET , AO VERIFICAR NO COP 2 CONSTA MASSIVA EM ABERTO.;Massiva
ABERTO Interrupção de Rede - Interrupção ;Massiva
"Cliente relata que esta sem conexão  Massiva:	";Massiva
"Id da massiva	Manutenção Programada Rede Secundária	ABERTA	- orientada com 24h ";Massiva
 (Massiva) ;Massiva
"Massiva:  (Massiva)	  Motivo:	Remodelagem ";Massiva
Orientado ao prazo ;Massiva
Interrupção de Rede - Interrupção ;Massiva
sra kelly sem sinal , massiva prazo de ate 08hrs. ;Massiva
Cliente sem conexão , verificado em sistema consta massiva sendo assim orientada para aguardar em até 24 horas para normalização. ;Massiva
"Manutenção Programada Rede Secundária	ABERTACliente com pendências  Eu Sei - Procedimentos ";Massiva
CLIENTE RECLAMA DA SUA INETRENET SEM NAVEGAÇÃO SEM MASSIVA SEM BLOQUEIO TESTE REALIZADO SEM SUCESSO ;Modem sincronizado e autenticado
CLIENTE ESTA SEM CONEXAO DES DO DIA  25 FIZ TODOS OS TESTE COM CLIENTE E O MESMO INFORMA QUE LUZ DO @ TA APAGADO POREM NO SISTEMA CONSTA SINCRONIZADO ;Modem sincronizado e autenticado
Cliente   informa que esta sem  sinal de internet e sem telefone . Sem massiva (Nenhum registro foi encontrado) e sem bloqueio por fatura. Ledes acessos em modem.  Cliente é um VDSL. Ligação muda , caiu. Retorno indisponivel erro em cisco. Passado caso a supervisão.;Modem sincronizado e autenticado
