RELATOCLIENTE;PROBLEMA
SEM CONEXÃO , MASSIVA OU BLOQUEIO. MSAN OFFLINE . LUZ INTERNET APAGADA. REALIZADO RESET DE PORTA E SOLICITADO QUE DESLIGUE O MODEM POR 10S ;Modem sincronizado e autenticado
CLIENTE ESTA SEM CONEXÃO;Modem sincronizado e autenticado
Cliente entra em contato reclamando que está sem acesso a internet. Foi verificado no sistema NGASP que a conexão está sincronizada, então foi pedido para que o cliente desligasse o modem para atualizar o plano no sistema. Assim que o modem ligou e sincronizou novamente, o cliente confirmou normalização.;Modem sincronizado e autenticado
Desligar o Modem Resetar a porta da MSAN via sistemas Tela Única e NGASP e religar o modem. Confirmar no Regman se cliente está navegando na rede local por cabo (se não estiver exibindo o dispositivo, clicar em Update State) Se o cliente não for GPON e não for Empresas (IP Fixo), consultar e atualizar o perfil no Portal COP 1.0 (AAA)sem conecções via cabo ;Modem sincronizado e autenticado
cliente informa que esta sem conexão, após realizado os procedimentos o problema foi resolvido ;Modem sincronizado e autenticado
Cliente informa que a internet parou de funcionar no dia do vencimento da fatura, porém não consta nenhum bloqueio e nem redução por falta de pagamento. ;Modem sincronizado e autenticado
Desligar o Modem     Resetar a porta da MSAN via sistemas Tela Única e NGASP e religar o modem.     Confirmar no Regman se cliente está navegando na rede local por cabo (se não estiver exibindo o dispositivo, clicar em Update State)     Se o cliente não for GPON e não for Empresas (IP Fixo), consultar e atualizar o perfil no Portal COP 1.0 (AAA)     Pedir para cliente acessar o endereço do modem: 192.168.1.1     Verificar encaixe do cabo modem e no computador.   ;Modem sincronizado e autenticado
cliente sem conexão não consta massiva realizado testes não foi normalizado maquina sem print ;Modem sincronizado e autenticado
cliente informa que ta sem internet feito os procedimentos acima , maquina nao esta anexando os prints;Modem sincronizado e autenticado
CLIENTE ENTRA EM CONTATO INFORMANDO QUE ESTA SEM CONEXÃO, NÃO CONSTA MASSIVA. CLIENTE RELATA QUE A LUZ DO @ ESTA ACESSA EM SISTEMA MOSTRA QUE ESTA COM O PROBLEMA DE NÃO NAVEGA.OBS: ATENDENTE EM HOME OFFICE, NÃO TEM PRINT!;Modem sincronizado e autenticado
CLIENTE SEM CONEXAO REALIZEI OS TESTE E NAO VOLTOU @ ACESSA Solicitação de Reset NGASP enviada com sucesso. ;Modem sincronizado e autenticado
cliente sem internet  nao  a massiva ;Modem sincronizado e autenticado
sem conexão totalmente ;Modem sincronizado e autenticado
SR RELATA QUE NÃO ESTA CONSEGUINDO CONECTAR VIA CABO, TESTOU EM QUALQUER UMA DAS PORTAS MAS NÃO CONECTA. APÓS TESTES CONFIRMA NORMALIZAÇÃO E TESTE PELA CABEADA BATEU AS 400MB COM A CONTRATADA.;Modem sincronizado e autenticado
cliente informa sem conexão , modem sincronizado;Modem sincronizado e autenticado
RESETADO O NGASP E TELA ÚNICA, MAS SEM SUCESSO APÓS OS TESTES. salvo na base de dados para não receber contato via WhatsApp.;Modem sincronizado e autenticado
cliente sem sinal total ;Modem sincronizado e autenticado
cliente não esta conseguindo conectar via cabo , sem internet  no computador;Modem sincronizado e autenticado
CLIENTE ESTÁ SEM CONEXÃO, PORÉM O LED DA INTERNET ESTÁ ACESO MAS SEM SUCESSO, OS TESTES FORAM REALIZADOS CONFORME A ÁRVORE MAS SEM SUCESSO ;Modem sincronizado e autenticado
CLIENTE INFO QUE ESTÁ SEM CONEXÃO, NÃO CONSTA MASSIVA, NÃO CONSTA BL. INADIMP. EM NGASP SINCRONISMO OK, CONSTA 1 QUEDA EM DELT M., CLIENTE ELEGÍVEL CAPTIVE, PORÉM COMO NÃO CONSTA NENHUM DÉBITO, FOI EFETUADA TODAS AS ATUALIZAÇÕES, CLIENTE CIENTE DE TODOS OS PROCEDIMENTOS, PRINT INDISPONÍVEL. CLIENTE CONFIRMA EM LINHA NORMALIZAÇÃO DE CONEXÃO. ;Modem sincronizado e autenticado
CLIENTE INFORMA QUE O SINAL FICA CONECTADO SEM INTERNET / @ PISCANDO SEM PARAR;Modem sincronizado e autenticado
REALIZADO TESTES NORMALIZOU O SIANL;Modem sincronizado e autenticado
Cliente informa que esta sem internet.Porem em sistema consta tudo sincronizado e autenticado.Solicitado que cliente desligue o modem e realizado procedimentos em sistema.Realizado procedimentos, solicitado que cliente religue o modem e tente utilizar a banda larga.Cliente realiza teste e informa que normalizou.NAO FINALIZADO POIS LIGAÇÃO CAIU.;Modem sincronizado e autenticado
Desligar o Modem     Resetar a porta da MSAN via sistemas Tela Única e NGASP e religar o modem.     Confirmar no Regman se cliente está navegando na rede local por cabo (se não estiver exibindo o dispositivo, clicar em Update State)     Se o cliente não for GPON e não for Empresas (IP Fixo), consultar e atualizar o perfil no Portal COP 1.0 (AAA)     Pedir para cliente acessar o endereço do modem: 192.168.1.1     Verificar encaixe do cabo modem e no computador.     ;Modem sincronizado e autenticado
o cliente reclama que fios soltos na rua se passar um caminhão pode levar os fios, cliente informa está com internet, cliente pode ter prejuízos maior , e tomar medidas judicias. com sincronismo em sistema ;Modem sincronizado e autenticado
Realizamos os testes conforme as instruções da árvore e somente conecta em alguns dispositivos ;Modem sincronizado e autenticado
Desligar o Modem     Resetar a porta da MSAN via sistemas Tela Única e NGASP e religar o modem.     Confirmar no Regman se cliente está navegando na rede local por cabo (se não estiver exibindo o dispositivo, clicar em Update State)     Se o cliente não for GPON e não for Empresas (IP Fixo), consultar e atualizar o perfil no Portal COP 1.0 (AAA)     Pedir para cliente acessar o endereço do modem: 192.168.1.1     Verificar encaixe do cabo modem e no computador.     ;Modem sincronizado e autenticado
 o @ ACESSA A33CLIENTE SEM CONEXAO REALIZEI OS TESTE E NAO VOLTOU A FUNCIONAR SEM NGASP / CLIENTE GPON ;Modem sincronizado e autenticado
RECLAMA AUSENCIA DA INTERNET 2.g - SOLICITADO OS PROCEDIMENTOS, NÃO TEM MASSIVA(PRINT INDISPONIVEL);Modem sincronizado e autenticado
realizado os procedimentos acima ;Modem sincronizado e autenticado
cliente conectado sem internet!;Modem sincronizado e autenticado
Modem em vermelho no regman;Modem sincronizado e autenticado
em linha  informa que a internet está lenta;Modem sincronizado e autenticado
CLIENTE RELATA QUE ESTA SEM CONEXÃO, BROADBAND-ACESA FIXO @ APAGADA, NAO HA REGISTRO DE MASSIVA, SEM BLOQUEIO INADIMPLENCIA ;Modem sincronizado e autenticado
CONEXÃO SEM FUNCIONAR HÁ 3 DIAS . APÓS OS TESTES NÃO NORMALIZOU//TODAS AS LEDS ESTÃO ACESSAS MAS NOME O WIFI NÃO APARECE PARA CONECTAR;Modem sincronizado e autenticado
CLIENTE INFORMA QUE NÃO CONSEGUE SE CONECTAR, INFORMA INTERNET INDISPONIVEL, NÃO EXISTE MASSIVA NEM BLOQUEIO;Modem sincronizado e autenticado
Cliente sem acesso  internet, Led INTERNET piscando.Cliente não tem bloqueio e não tem massiva.Procedimentos efetuados com sucesso. ;Modem sincronizado e autenticado
Modem esta devidamente sincronizado e autenticado, mas o cliente não navega. Ja fez teste via cabo e via wifi.;Modem sincronizado e autenticado
CLIENTE INFORMA QUE ESTA SEM CONEXÃO, SEM MASSIVAREALIZADO OS TESTES, SEM SUCESSO.;Modem sincronizado e autenticado
Cliente não consegue navegar na internet, procedimentos realizados e sinal normalizado.;Modem sincronizado e autenticado
modem sincronizado, sem massiva e sem bloqueio;Modem sincronizado e autenticado
Sem conexão, sem massiva. Modem autenticado e sincronizado. Testes realizados, sem normalização.;Modem sincronizado e autenticado
feito os testes, sem sucesso, sem aceso ao cop 1.0 e regamn, e não pode conectar via cabo.;Modem sincronizado e autenticado
Cliente sem conexão, apesar de luzes importantes para funcionamento estarem acesas. Fiz procedimento e cliente confirma normalização.;Modem sincronizado e autenticado
Mesmo com todas as luzes acessas em seu modem não consegue se conectar coma internet, feito testes e não normalizou.;Modem sincronizado e autenticado
O cliente informou que esta sem conexão,ele relatou que as luzes do molden estão todas acesas mais ele não tem acesso,foi verificado no sistema mais não consta nenhum registro de massiva na região e também não consta nenhum bloqueio. Foi realizado os procedimentos com o cliente mais ele relata que não esta conseguindo navegar.;Modem sincronizado e autenticado
Cliente estava sem conexão com a internet, segundo o mesmo sempre que ocorre chuvas a internet para. Não consta massiva nem bloqueio. Foi realizado os procedimentos.;Modem sincronizado e autenticado
possui quedas, cliente relata muitas quedas, informa que seu moden está reiniciando sozinho. print anexo, aceita contato via whatsapp;Parâmetros Ruins
cliente reclama que está com intermitencia na conexão, consta parametros ruins ;Parâmetros Ruins
CLIENTE RECLAMA QUE ESTÁ COM MUITA OSCILAÇÃO EM SUA CONEXÃO. CONSTA FALHA DE PARÂMETROS. Banda Larga Parâmetros RuinsCLIENTE RECLAMA QUE TELEFONE FIXO NÃO ESTÁ FUNCIONANDO.;Parâmetros Ruins
cliente reclama de quedas e oscilações em sistema mostra parametros ruins, segue print em anexo;Parâmetros Ruins
cliente informa que esta sem conexão, após realizado os procedimentos o problema foi resolvido;Parâmetros Ruins
Informa que no momento que esta sem conexão,consta parâmetros ruins;Parâmetros Ruins
Cliente esta com parametros ruins.O memso esta com oscilações e quedas em determinados horarios do dia;Parâmetros Ruins
CLIENTE COM PARAMETROS RUINS // CLIENTE NAO ESTA NA RESIDENCIA DE MANHA PREFERE QUE O TECNICO VA NO PERIODO DA TARDE !! Mensagem enviada para o WhatsApp ;Parâmetros Ruins
PARAMETROS RUINS FEITO OS TESTES E NÃO ADIANTOU;Parâmetros Ruins
CLIENTE IRA RETORNAR PARA REALIZAR TESTES;Parâmetros Ruins
CLIENTE RECLAMA QUE ESTÁ SEM CONEXÃO. CONSTA FALHA DE PARÂMETROS. Banda Larga Parâmetros Ruins ;Parâmetros Ruins
CLIENTE SOB PARAMETROS RUINS. REALIZADO PROCEDIMENTOS COMO ATENUAÇÃO SEGUINDO ARVORE DE DECISÃO ;Parâmetros Ruins
falha do acesso quedas falhas realizado o reset de porta porem o acesso apresenta parametro ruim ;Parâmetros Ruins
Caros , cliente  reclama qiue não consegue conexão com internet , porém foi solicitado que fosse desligado modem na tomada inverteu pontas do cabo , feito reset sistemico , cliente ligou o mdem , reset fisico , porém falha persiste , em ferramenta   peço que verifiquem , grata.;Parâmetros Ruins
cliente relata quedas, parametros ruins;Parâmetros Ruins
CLIENTE COM PARAMETROS RUINS . E INFORMA QUE QUANDO ESTA CHOVENDO NAO FUNCIONA ;Parâmetros Ruins
Cliente reclama de lentidão na internet, testes realizados sem sucesso, porem cliente possui 150 megas e a instalação do cliente ao invés de ser de fibra ótica é de metálica. Verificar para confirmar se é compatível cliente receber a velocidade contratada de 150 megas. Medição consta 21 download, 26 upload e 9 ping.;Parâmetros Ruins
CLIENTE RELATA QUE SUA INTERNET CAI BASTANTE VERIFIQUEI QUE HAVIA QUEDAS E PARAMETROS RUINS, FIZ OS PROCEDIMENTOS NECESSARIOS FOI FEITO RESET NO NGASP, NO PORTAL COP, E AAA NÃO NORMALIZADO FOI ABERTO O CHAMADO ( QUEDAS COM PARAMETROS:;Parâmetros Ruins
cliente relata queda e lentidaofeitos os procediementos parametros ruins ;Parâmetros Ruins
Cliente relata que esta sem internet, apos os testes, não voltou ao normal.;Parâmetros Ruins
CLIENTE RECLAMA QUE ESTÁ SEM CONEXÃO. CONSTA FALHA DE PARÂMETROS. Banda Larga Parâmetros Ruins.CLIENTE SOLICITA URGENCIA DEVIDO A ESTAR TRABALHANDO DE CASA . Mensagem enviada para o WhatsApp;Parâmetros Ruins
CLIENTE RECLAMA DESDE DIA 26/12 LED PON FICA VERMELHO E CONEXÃO CAI, EM SISTEMA CONSTA ATENUAÇAO ALTA. REALIZADO RESET , NAO HA MASSIVA OU BLOQUEIO. APOS OS TESTES, PROBLEMA CONTINUA;Parâmetros Ruins
cliente informa baixa velocidade feito o reset cliente reiniciou o modem ;Parâmetros Ruins
cliente sem conexão, sem autenticação, ngasp apresenta parametros ruins. após testes ffalha persiste;Parâmetros Ruins
cliente diz que nao foi normalizado e que mensagem que ela confirmou era pra tecnico ir no atendimento;Parâmetros Ruins
CLIENTE INFORMA QUE ESTA SEM ACESSO A INTERNET , NAO A MASSIVA , FEITOS OS TESTES , NAO VOLTOU  CONFORME PROCEDIMENTO Mensagem enviada para o WhatsApp ;Parâmetros Ruins
RUIM  cliente esta com problema de quedas desde do dia 23 e se nao resolver ira na anatel ;Parâmetros Ruins
CLIENTE INFORMA QUE SUA CONEXÃO ESTA COM BASTANTE INTERMITENCIA, O MEMSO INFORMA QUE ESTE PROBLEMA É RECORRENTE E QUE DESEJA A VISITA DE UM TECNICO, SEM MASSIVA REALIZADO OS TESTES, SEM SUCESSO.;Parâmetros Ruins
cliente reclama  de ocilacoes  na banda   nai  consta massiva teste feito para normalizacao do cliente  apos os teste  cliente   esta   com atenuacao nao da para anexar  print  estou em homerCliente é um VDSL ;Parâmetros Ruins
falha de paramteros. feito os procedimentos a falha persiste ;Parâmetros Ruins
cliente informa que sempre que chove sua conexão cai. ;Parâmetros Ruins
cliente informa que esta com muitas quedas em sua conexao apos verificar cliente  esta com os parametros ruins sem massiva:  ;Parâmetros Ruins
cliente esta sem sinal quando chove, verifiquei esta com parametros ruins ;Parâmetros Ruins
CLIENTE COM QUEDAS, VERIFICADO EM SISTEMA, NÃO CONSTA BLOQUEIOS OU MASSIVA, ACESSO SINCRONIZADO E COM PARAMETROS RUINS ;Parâmetros Ruins
sem acesso a internet cleinte aparentemente com paramentros ruins ;Parâmetros Ruins
cliente informa quedas quedas frequentes feito o reset cliente informa que quedas ocorrem quando chove cliente reiniciou o modem ;Parâmetros Ruins
Cliente reclama que a mais de 2 meses está com ocilação e quedas na conexão.;Parâmetros Ruins
quedas na rede realizado os testes acima................cliente informa que tem urgencia ao reparos tecnicos,por gentileza uma atençao ao Agendamento..........................;Parâmetros Ruins
cliente sem conexão , sem massiva , sem bloqueio,cliente informa led de internet apagado,em sistema consta sincronizado e autenticado , parametros ruins;Parâmetros Ruins
CLIENTE INFO QUE ESTÁ SEM CONEXÃO, NÃO CONSTA MASSIVA, NÃO CONSTA BL. INADIMP. EM NGASP SINCRONISMO OK, PORÉM EM DELT M., CONSTA 94 QUEDAS E KL0 ESTÁ A 8.4 GERANDO PROBLEMA DE PARÂMETROS RUINS, FOI EFETUADO TODOS OS PROCEDIMENTOS DE ATUALIZAÇÃO, CLIENTE CIENTE DE ABERTURA DE OTT PARA REPARO E DE TODOS OS PROCEDIMENTOS, PRINT INDISPONÍ;Parâmetros Ruins
CLIENTE RECLAMA QUE ESTÁ SEM CONEXÃO. CONSTA FALHA DE PARÂMETROS. ;Parâmetros Ruins
cliente informa que esta sem conexão, após realizado os procedimentos o problema não foi resolvido ;Parâmetros Ruins
CLIENTE ESTA COM PARAMETROS RUINS, APOS OS TESTES NÃO NORMALIZOU;Parâmetros Ruins
Cliente informa estar sem conexão. Computador home based não tira print.Cliente sem massivas e sem bloqueios;Parâmetros Ruins
cliente informa que esta com problemas em sua conexao apso veriicar cliente  esta com os parametros ruins porem nao foi possivel fazer os testes no momento pois cliente informa que nao pode desligar o modem e informa que daqui 30 minutos entra em contato denovo para conseguir efetuar os tetes necessarios para abertura chamado para tecnico em campo ;Parâmetros Ruins
CLIENTE RECLMA DA SUA CONEXÃO E DIZ QUE PROBLEMA É FREQUENTE /// ;Parâmetros Ruins
cliente esta sem internet verifiquei que esta com parametros fiz os teste e esta o mesmo irei encaminhar Mensagem enviada para o WhatsApp ;Parâmetros Ruins
Cliente relata que esta sem internet, apos os testes, não voltou ao normal.;Parâmetros Ruins
SR RELATA LENTIDÃO DE 6MB E ISSO ATRAPALHA EM SUAS. EM SISTEMA NÃO CONSTA BLOQUEIO OU MASSIVA MAS APRESENTA PARÂMETROS RUINS. CIENTE SOBRE ORDEM TÉCNICA E AGENDAMENTO VIA WHATSAPP.;Parâmetros Ruins
CANAL BAIXO NO WIFI alterado cliente esta , reclamando a oxilaçao a pouco de perca do sinal . os parametros esta pouco ruim. ;Parâmetros Ruins
cliente informa que a internet esta lenta realizado teste com sucesso.obs.: cliente não tem computador teste feito via WIFI.;Baixa Velocidade
RECLAMA VELOCIDADE DA INTERNET - INFORMADO SOBRE A GARANTIA DO SINAL NO CABO E TESTE FEITO NO COMPUTADOR, SOLICITADO OS PROCEDIMENTOS. O MESMO INFORMA QUE NÃO POSSUI O COMPUTADOR ;Baixa Velocidade
cliente com baixa velocidade AAA atualizado com sucesso PING 16 DOWNLOAD não informado UPLOAD 2- - - PING 19DOWNLOAD  5UPLOAD não informado;Baixa Velocidade
CLIENTE Entrou em contato informando que está COM BAIXA VELOCIDADE, realizamos os testes conforme as instruções da árvore  normalizou. ;Baixa Velocidade
CLIENTE COM LENTIDÃO NA CONEXÃO ;Baixa Velocidade
cliente relatou que não estava chegando aos 400 mg, antes de fazer os procedimentos, foi normalizada.;Baixa Velocidade
CLIENTE ESTA COM BAIXA VELOCIDADE, FOI FEITO A VERIFICAÇÃO E FOI VISTO QUE ELE ESTA RECEBENDO SÓ 10MB SENDO QUE ELE TEM CONTRATADO 60MB. FOI FEITO OS TESTES E MESO ASSIM NÃO NORMALIZOU.;Baixa Velocidade
Cliente informa que esta com sua banda larga bastante lenta e não chega ao contratado, não se encontra massiva e nem ordem de redução. DOWN: 31.66;Baixa Velocidade
lentidao sem computador para teste. ;Baixa Velocidade
Cliente que possui o Telefone respondeu SIM na Mensagem Recebida pelo WhatsApp.;Baixa Velocidade
Cliente informa que esta com baixa velocidade.;Baixa Velocidade
cliente informa que esta com sinal lento e intermitente, de acordo com o cliente a velocidade também esta abaixo da contratada e o sinal não esta alcançando todos os cômodos da casa.;Baixa Velocidade
CLIENTE RECLAMA DE LENTIDÃO.NÃO CONSTA BLOQUEIO NEM MASSIVA. SEGUNDO INFO LIVE REDE ESTA SINCRONIZADA E AUTENTICADA SEM NENHUMA INTERFERÊNCIA.TESTE DE VELOCIDADE:1° TESTE - PING: 10MS DOWNLOAD:94,00MB UPLOAD:94,00MB 2° TESTE - PING:08MS DOWNLOAD:93,05MB UPLOAD:94,85MB3° TESTE - PING:06MS DOWNLOAD:93,00MB UPLOAD:94,00MB**Solicitação de Reset NGASP enviada com sucesso.**AAA atualizado com sucesso.APOS TESTES REDE NÃO ATINGE VALOR CONTRATADO. PLACA DE REDE É COMPATÍVEL (GPON).;Baixa Velocidade
CLIENTE COM BAIXA VELOCIDADE, BATENDO 3 DE DOWN, APOS OS TESTES O PROBLEMA CONTINUA DANDO VALORES EM KBPS;Baixa Velocidade
cliente informa que esta tendo quedas constantes na conexão . e baixa velocidade . realizados os testes sem sucesso . verificado em sistema não consta massiva/sem bloqueio.;Baixa Velocidade
cliente informa que a sua conexão está apresentando lentidões, o mesmo disse que realizou um teste pelo computador cabeado e deu em média de 30 mega de velocidade, sendo que o seu plano é o de 150 mega-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------NOTAS ADICIONAIS:1° TestePING: 2 msDOWNLOAD: 116.8 MbpsUPLOAD: 64.3 Mbps2° TestePING: 4 msDOWNLOAD: 154 MbpsUPLOAD: 64.7 Mbps;Baixa Velocidade
CLIENTE SEM SINAL DE INTERNT ,FEITO TESTES COM O MESMO EM LINHA SOBRE VELOCIDADE INORMA QUE ESTA RECEBENDO 100 MG VIA CABO ,O QUAL O MEMSO POSSUI 400 MG DE SERVIÇO,FAVOR VERIFICAR  DOW 56,7    UP 4,3  PING 382 DOW 42,51    UP 2,20   PIN 282 DOW 31,72             UP 2,14     PING  222;Baixa Velocidade
Cliente reclama de baixa velocidade pelo cabo de rede:Primeiro teste: Down 7,64 - Uplo *não apareceu* - Ping 11,00Segundo teste: Down 51,46 - Uplo 28,76 - Ping ;Baixa Velocidade
cliente nao esta com computador para realkizar teste de velocidade  foi feito atualizaçao ;Baixa Velocidade
Cliente reclama que não esta batendo o valor do contratado porem tem o computador mas disse que o computador esta longe para fazer o teste... ;Baixa Velocidade
cliente não tem como realizar testes no momento e nem fazer a mudança de senha no momento ;Baixa Velocidade
Cliente reclama de baixa velocidade . Velocidade contratada: 200 + 200Velocidade que está recebendo: 150  conectado via cabo. cliente reclama por não receber o contratado. Procedimentos efetuados, por favor tratar . Não tem massiva e não tem bloqueio. ;Baixa Velocidade
Cliente informa que esta com baixa velocidade. ;Baixa Velocidade
Cliente informa que esta com baixa velocidade.;Baixa Velocidade
Cliente relata lentidão na conexão. Feito procedimentos em sistema. Cliente conectado via cabo. Speedtest.net.Download: 2.85 Upload: 00 ping: 41-------------------------------------------------------------------------------------;Baixa Velocidade
ping:249   download:43,52  upload: 0                        cliente informa que não esta conseguindo realizar os testes, o site não carrega;Baixa Velocidade
está alcaçando apenas 94 megas e não desde do contratado94,7894,76a placa de rede da cliente não é compativel com a rede da tim;Baixa Velocidade
REALIZADO  TESTES  RECLAMA  DE  MUITA  LENTIDÃO   PING 18MS ,  DOWNLOAD 0.47 ,  UPLOAD 0.25;Baixa Velocidade
teste 1 dow:0.36 ping:45 teste 2 dow:0.39 up:ping: 135;Baixa Velocidade
cliente questiona lentidão porem tem 17 equipamentos conectados  e a ligação caiu ;Baixa Velocidade
Cliente informa que esta com baixa velocidade. ;Baixa Velocidade
Cliente informa que a lâmpada do modem está piscando em vermelho, técnico já compareceu até o local porém o problema de baixa velocidade não foi solucionado. Procedimento de RESET efetuado pelo NGASP. ;Baixa Velocidade
Entrou em contato informando que a sua conexão vem a alguns dias muito lenta, realizamos os testes conforme as instruções da árvore e normalizou;Baixa Velocidade
PING, DOWNLOAD: 51.89 UPLOAD: 56.78 Feito os procedimentos, foi normalizada. ;Baixa Velocidade
cliente informa que esta com baixa velocidade . realizados os testes com sucesso. ;Baixa Velocidade
1° Teste:  PING 12, DOWN 32,21 , UP 32.162° Teste PING 6 , DOWN 33,56, UP 32.303° Teste PING 11, DOWN 27.15, UP 32,28  não normalizou encaminhado nivel2 ;Baixa Velocidade
primeiro teste : download 142.82 upload: 5.89 ping: 27------------------------------------------------------------------------Erro ao atualizar AAA: Parâmetros inválidos - Campo city é obrigatório------------------------------------------------------------------------2º teste:download 12.84 up 5.73 ping 13-----------------------------------------------------------------------3º teste downlaod 5.83, up  64 ping 18 Placa em 1 GB ;Baixa Velocidade
CLIENTE RECLAMA QUE NÃO ESTA RECEBENDO OS 400 BM , POREM NÃO POSSUI CABO CONECTADO NO MODEM CLIENTE INFORMA QUE VAI RETORNA CONTATO DEPOIS;Baixa Velocidade
CLIENTE ESTA COM LENTIDAO  POREM NAO COMPUTADOR VIA CABO PARA FAZER TESTES NO MOMENTO ;Baixa Velocidade
CLIENTE INFROMA QUE FOI ATENDIDA POR UMA ATENDENDE ANTERIOR MAS A LIGAÇÃO CAIU, JA FEZ OS TESTES E NAO VOLTOU. ;Baixa Velocidade
1° Teste : PING  2 DOWNLOAD   21 ,2 UPLOAD 27,85 2° Teste : PING  1 DOWNLOAD   77,45 UPLOAD   53,26 3° Teste : PING  18 DOWNLOAD   97,02 UPLOAD   29,11 ;Baixa Velocidade
Cliente informa que esta com baixa velocidade. ;Baixa Velocidade
CLIENTE INFORMA QUE ESTA COM BAIXA VELOCIDADE . REALIZADOS OS TESTES SEM SUCESSO . VERIFICADO EM SISTEMA NÃO CONSTA MASSIVA / SEM BLOQUEIO. ;Baixa Velocidade
averiguei se era algum problema de massiva . pedi ao cliente desligar o modem . resetei a porta port eth resetei a porta on pedi para o cliente ligar o;Baixa Velocidade
CLIENTE ALEGA LENTIDÃO EM SUA INTERNET E QUE O VOIP NÃO FUNCIONA DESDE TROCOU O MODEM. FEITOS PROCEDIMENTOS E O RESULTADO DO TESTE: PING: 37MS DOWNLOAD: 49.8MB UPLOAD: 45.5MB;Baixa Velocidade
CLIENTE INFORMA QUE A LUZ DO PON ESTÁ EM VERMELHO E COM ISSO O SINAL ESTA INTERMITENTE E COM MUITA LENTIDÃOPING 33  DOWNLOAD 0.29   UPLOAD 1PING 35  DOWNLOAD 2   UPLOAD  14 ;Baixa Velocidade
CLIENTE ESTA COM BAIXA VELOCIDADE, FOI FEITO A VERIFICAÇÃO E FOI VISTO QUE ELE ESTA RECEBENDO SÓ 1MB SENDO QUE ELE TEM CONTRATADO 40MB. FOI FEITO OS TESTES E MESO ASSIM NÃO NORMALIZOU. ;Baixa Velocidade
TESTE DE VELOCIDADEDOW: 310PING: 3UP: 125;Baixa Velocidade
Cliente sem conexão o mesmo já ligou aqui dia 27-12, mas o FUP fechou o protocolo do cliente por falta de contato. ;Baixa Velocidade
CLIENTE ESTA COM BAIXA VELOCIDADE, FOI TROCADO PARA 400 MEGAS E AINDA SIM ESTA BATENDO 35 MEGAS , MUITO A BAIXO DO CONTRATADO;Baixa Velocidade
